epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.1699,1.36473,0.66298,1,0.91886,0.000362104,0.000362104,0.000362104
2,15.8652,0.78088,0.70718,1,0.85929,0.000722769,0.000722769,0.000722769
3,19.0051,0.62091,0.79006,1,0.56181,0.00107366,0.00107366,0.00107366
4,21.9969,0.5494,0.74586,1,0.73055,0.001067,0.001067,0.001067
5,25.0236,0.55038,0.8011,1,0.66968,0.00105234,0.00105234,0.00105234
6,28.0299,0.45762,0.79006,1,0.56563,0.00103767,0.00103767,0.00103767
7,30.9715,0.40194,0.83425,1,0.51632,0.00102301,0.00102301,0.00102301
8,33.8076,0.3814,0.81768,1,0.54862,0.00100834,0.00100834,0.00100834
9,36.6473,0.35744,0.79558,1,0.53373,0.000993678,0.000993678,0.000993678
10,39.4538,0.34569,0.81215,1,0.66077,0.000979013,0.000979013,0.000979013
11,42.2477,0.33034,0.81768,1,0.48938,0.000964348,0.000964348,0.000964348
12,45.061,0.32279,0.82873,1,0.57168,0.000949683,0.000949683,0.000949683
13,47.9857,0.29904,0.82873,1,0.56598,0.000935018,0.000935018,0.000935018
14,50.8318,0.31835,0.8232,1,0.59896,0.000920352,0.000920352,0.000920352
15,53.6288,0.29695,0.8011,1,0.5588,0.000905687,0.000905687,0.000905687
16,56.5092,0.28408,0.81215,1,0.62675,0.000891022,0.000891022,0.000891022
17,59.3476,0.32334,0.8232,1,0.53455,0.000876357,0.000876357,0.000876357
18,62.2858,0.28792,0.8674,1,0.50456,0.000861692,0.000861692,0.000861692
19,65.205,0.24914,0.82873,1,0.57935,0.000847026,0.000847026,0.000847026
20,68.1445,0.26757,0.8232,1,0.64067,0.000832361,0.000832361,0.000832361
21,71.0831,0.26499,0.79558,1,0.65798,0.000817696,0.000817696,0.000817696
22,74.0571,0.29801,0.8232,1,0.59696,0.000803031,0.000803031,0.000803031
23,77.1038,0.25933,0.81768,1,0.55599,0.000788366,0.000788366,0.000788366
24,80.1492,0.22985,0.82873,1,0.61133,0.0007737,0.0007737,0.0007737
25,83.1225,0.21752,0.80663,1,0.68701,0.000759035,0.000759035,0.000759035
26,86.0594,0.25913,0.8011,1,0.56173,0.00074437,0.00074437,0.00074437
27,89.0143,0.21008,0.81768,1,0.59113,0.000729705,0.000729705,0.000729705
28,91.9432,0.20914,0.81215,1,0.62321,0.00071504,0.00071504,0.00071504
29,94.8901,0.1971,0.80663,1,0.65334,0.000700374,0.000700374,0.000700374
30,97.826,0.19609,0.80663,1,0.69694,0.000685709,0.000685709,0.000685709
31,100.837,0.20457,0.81768,1,0.7052,0.000671044,0.000671044,0.000671044
32,103.86,0.21908,0.8011,1,0.75562,0.000656379,0.000656379,0.000656379
33,106.885,0.20863,0.79006,1,0.73792,0.000641714,0.000641714,0.000641714
34,109.967,0.18276,0.80663,1,0.6969,0.000627048,0.000627048,0.000627048
35,112.959,0.20499,0.81215,1,0.71765,0.000612383,0.000612383,0.000612383
36,115.977,0.18868,0.80663,1,0.77966,0.000597718,0.000597718,0.000597718
37,118.917,0.16845,0.79006,1,0.7159,0.000583053,0.000583053,0.000583053
38,121.921,0.19322,0.80663,1,0.85465,0.000568388,0.000568388,0.000568388
39,124.886,0.21613,0.81215,1,0.77401,0.000553722,0.000553722,0.000553722
40,127.895,0.19785,0.8011,1,0.84485,0.000539057,0.000539057,0.000539057
41,130.886,0.19469,0.8232,1,0.79525,0.000524392,0.000524392,0.000524392
42,133.876,0.20651,0.8232,1,0.80436,0.000509727,0.000509727,0.000509727
43,136.752,0.20529,0.81768,1,0.68054,0.000495062,0.000495062,0.000495062
44,139.736,0.19649,0.81768,1,0.72636,0.000480396,0.000480396,0.000480396
45,142.662,0.16874,0.80663,1,0.76929,0.000465731,0.000465731,0.000465731
46,145.608,0.17103,0.8011,1,0.77836,0.000451066,0.000451066,0.000451066
47,148.615,0.17908,0.81215,1,0.73535,0.000436401,0.000436401,0.000436401
48,151.625,0.18337,0.8232,1,0.73848,0.000421736,0.000421736,0.000421736
49,154.568,0.18783,0.81768,1,0.77783,0.00040707,0.00040707,0.00040707
50,157.526,0.1892,0.8011,1,0.80648,0.000392405,0.000392405,0.000392405
51,160.566,0.17772,0.8011,1,0.73629,0.00037774,0.00037774,0.00037774
52,163.585,0.19151,0.8232,1,0.77096,0.000363075,0.000363075,0.000363075
53,166.509,0.17682,0.79006,1,0.78634,0.00034841,0.00034841,0.00034841
54,169.514,0.19568,0.81768,1,0.66491,0.000333744,0.000333744,0.000333744
55,172.434,0.15263,0.81768,1,0.70203,0.000319079,0.000319079,0.000319079
56,175.422,0.16148,0.81215,1,0.79757,0.000304414,0.000304414,0.000304414
57,178.291,0.15842,0.80663,1,0.82186,0.000289749,0.000289749,0.000289749
58,181.254,0.17688,0.81768,1,0.76562,0.000275084,0.000275084,0.000275084
59,184.293,0.1562,0.81215,1,0.74255,0.000260418,0.000260418,0.000260418
60,187.273,0.15859,0.81215,1,0.75456,0.000245753,0.000245753,0.000245753
61,190.24,0.14587,0.81768,1,0.75911,0.000231088,0.000231088,0.000231088
62,193.146,0.16029,0.81768,1,0.7701,0.000216423,0.000216423,0.000216423
63,196.165,0.14695,0.81768,1,0.77448,0.000201758,0.000201758,0.000201758
64,199.185,0.153,0.80663,1,0.84843,0.000187092,0.000187092,0.000187092
65,202.045,0.13672,0.81768,1,0.81417,0.000172427,0.000172427,0.000172427
