epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.21903,1.35807,0.70166,1,0.77816,0.000362104,0.000362104,0.000362104
2,6.84792,0.76132,0.73481,1,0.63737,0.000717935,0.000717935,0.000717935
3,9.23291,0.59059,0.8453,1,0.3995,0.0010591,0.0010591,0.0010591
4,11.6111,0.48029,0.83425,1,0.35746,0.00104501,0.00104501,0.00104501
5,13.7035,0.44628,0.83425,1,0.39457,0.00102301,0.00102301,0.00102301
6,15.6746,0.36744,0.85083,1,0.45268,0.00100101,0.00100101,0.00100101
7,17.5794,0.40281,0.8674,1,0.36523,0.000979013,0.000979013,0.000979013
8,19.5233,0.37629,0.88398,1,0.36355,0.000957015,0.000957015,0.000957015
9,21.4278,0.33808,0.88398,1,0.28591,0.000935018,0.000935018,0.000935018
10,23.3295,0.31766,0.87845,1,0.28599,0.00091302,0.00091302,0.00091302
11,25.2846,0.31698,0.87293,1,0.36609,0.000891022,0.000891022,0.000891022
12,27.1369,0.29098,0.87293,1,0.35767,0.000869024,0.000869024,0.000869024
13,29.0235,0.27263,0.89503,1,0.30678,0.000847026,0.000847026,0.000847026
14,30.9673,0.28914,0.86188,1,0.31866,0.000825029,0.000825029,0.000825029
15,33.0142,0.29536,0.8453,1,0.36818,0.000803031,0.000803031,0.000803031
16,35.1054,0.2403,0.87293,1,0.37056,0.000781033,0.000781033,0.000781033
17,37.2174,0.28036,0.86188,1,0.39252,0.000759035,0.000759035,0.000759035
18,39.1345,0.26975,0.87293,1,0.36475,0.000737037,0.000737037,0.000737037
19,41.0902,0.22934,0.8674,1,0.36167,0.00071504,0.00071504,0.00071504
20,42.9761,0.25901,0.8674,1,0.3691,0.000693042,0.000693042,0.000693042
21,44.8863,0.24565,0.8895,1,0.35553,0.000671044,0.000671044,0.000671044
22,46.8149,0.22702,0.8674,1,0.41825,0.000649046,0.000649046,0.000649046
23,48.8924,0.23838,0.8674,1,0.38975,0.000627048,0.000627048,0.000627048
24,50.8663,0.20272,0.86188,1,0.38525,0.000605051,0.000605051,0.000605051
25,52.7487,0.23157,0.85635,1,0.34914,0.000583053,0.000583053,0.000583053
26,54.6812,0.2204,0.87845,1,0.33671,0.000561055,0.000561055,0.000561055
27,56.6514,0.20729,0.85635,1,0.37701,0.000539057,0.000539057,0.000539057
28,58.5745,0.19095,0.86188,1,0.3858,0.000517059,0.000517059,0.000517059
29,60.4233,0.1946,0.85635,1,0.38605,0.000495062,0.000495062,0.000495062
30,62.3715,0.19025,0.87293,1,0.38123,0.000473064,0.000473064,0.000473064
31,64.1738,0.16912,0.87845,1,0.429,0.000451066,0.000451066,0.000451066
32,66.0717,0.20442,0.8674,1,0.42141,0.000429068,0.000429068,0.000429068
33,68.0246,0.18135,0.87293,1,0.42973,0.00040707,0.00040707,0.00040707
34,70.016,0.17294,0.87293,1,0.44076,0.000385073,0.000385073,0.000385073
35,71.9746,0.17747,0.87845,1,0.41913,0.000363075,0.000363075,0.000363075
36,73.8888,0.18158,0.87293,1,0.43537,0.000341077,0.000341077,0.000341077
37,75.8225,0.17297,0.87293,1,0.47357,0.000319079,0.000319079,0.000319079
38,77.8244,0.17581,0.8674,1,0.45296,0.000297081,0.000297081,0.000297081
39,79.7749,0.18168,0.86188,1,0.42027,0.000275084,0.000275084,0.000275084
40,81.7031,0.17817,0.87293,1,0.42399,0.000253086,0.000253086,0.000253086
41,104.566,0.1879,0.87845,1,0.40662,0.000231088,0.000231088,0.000231088
42,106.51,0.20322,0.87845,1,0.40702,0.00020909,0.00020909,0.00020909
43,108.408,0.18766,0.88398,1,0.41071,0.000187092,0.000187092,0.000187092
44,110.271,0.17425,0.87845,1,0.42485,0.000165095,0.000165095,0.000165095
45,112.172,0.20102,0.88398,1,0.40497,0.000143097,0.000143097,0.000143097
46,114.09,0.18285,0.87845,1,0.40961,0.000121099,0.000121099,0.000121099
47,115.908,0.17406,0.8674,1,0.3999,9.91012e-05,9.91012e-05,9.91012e-05
48,117.789,0.16847,0.87293,1,0.40131,7.71034e-05,7.71034e-05,7.71034e-05
49,119.673,0.17013,0.87293,1,0.44413,5.51056e-05,5.51056e-05,5.51056e-05
50,121.634,0.16105,0.86188,1,0.4161,3.31078e-05,3.31078e-05,3.31078e-05
