epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.90019,1.33241,0.67778,1,0.87728,0.000362104,0.000362104,0.000362104
2,6.03044,0.72174,0.73889,1,0.65592,0.000717935,0.000717935,0.000717935
3,7.84101,0.53487,0.79444,1,0.51038,0.0010591,0.0010591,0.0010591
4,9.52727,0.45803,0.75556,1,0.69086,0.00104501,0.00104501,0.00104501
5,11.2503,0.40519,0.81667,1,0.60087,0.00102301,0.00102301,0.00102301
6,12.9915,0.43454,0.8,1,0.56668,0.00100101,0.00100101,0.00100101
7,14.6931,0.42965,0.78889,1,0.49768,0.000979013,0.000979013,0.000979013
8,16.4005,0.37156,0.83889,1,0.43095,0.000957015,0.000957015,0.000957015
9,18.1106,0.33604,0.84444,1,0.45374,0.000935018,0.000935018,0.000935018
10,19.8333,0.26912,0.85,1,0.43577,0.00091302,0.00091302,0.00091302
11,21.6025,0.29043,0.83333,1,0.5068,0.000891022,0.000891022,0.000891022
12,23.2674,0.3209,0.78889,1,0.57454,0.000869024,0.000869024,0.000869024
13,24.9765,0.29631,0.83889,1,0.4682,0.000847026,0.000847026,0.000847026
14,26.6693,0.26996,0.82222,1,0.47514,0.000825029,0.000825029,0.000825029
15,28.3715,0.23303,0.83333,1,0.50612,0.000803031,0.000803031,0.000803031
16,30.1035,0.2596,0.80556,1,0.50041,0.000781033,0.000781033,0.000781033
17,31.7645,0.21801,0.82222,1,0.53373,0.000759035,0.000759035,0.000759035
18,33.4888,0.25503,0.82778,1,0.49325,0.000737037,0.000737037,0.000737037
19,35.2077,0.23992,0.8,1,0.55461,0.00071504,0.00071504,0.00071504
20,36.9976,0.2406,0.81111,1,0.5764,0.000693042,0.000693042,0.000693042
21,38.6174,0.25423,0.81111,1,0.53666,0.000671044,0.000671044,0.000671044
22,40.3115,0.21616,0.8,1,0.53984,0.000649046,0.000649046,0.000649046
23,42.0226,0.21912,0.80556,1,0.52865,0.000627048,0.000627048,0.000627048
24,43.7081,0.22715,0.79444,1,0.60722,0.000605051,0.000605051,0.000605051
25,45.3366,0.22493,0.81667,1,0.6248,0.000583053,0.000583053,0.000583053
26,47.0125,0.2177,0.82222,1,0.52438,0.000561055,0.000561055,0.000561055
27,48.6978,0.21489,0.83333,1,0.57731,0.000539057,0.000539057,0.000539057
28,50.3028,0.2121,0.81667,1,0.53748,0.000517059,0.000517059,0.000517059
29,51.9501,0.18137,0.82778,1,0.55778,0.000495062,0.000495062,0.000495062
30,53.6149,0.17778,0.82778,1,0.57532,0.000473064,0.000473064,0.000473064
31,55.2801,0.19461,0.82222,1,0.54083,0.000451066,0.000451066,0.000451066
32,56.9457,0.20814,0.81111,1,0.54503,0.000429068,0.000429068,0.000429068
33,58.6778,0.22124,0.82778,1,0.49904,0.00040707,0.00040707,0.00040707
34,60.3437,0.20363,0.81667,1,0.51018,0.000385073,0.000385073,0.000385073
35,62.0172,0.20445,0.83333,1,0.50028,0.000363075,0.000363075,0.000363075
36,63.7205,0.18567,0.81667,1,0.50687,0.000341077,0.000341077,0.000341077
37,65.4629,0.18516,0.82778,1,0.53265,0.000319079,0.000319079,0.000319079
38,67.1363,0.19524,0.80556,1,0.57829,0.000297081,0.000297081,0.000297081
39,68.8029,0.18249,0.8,1,0.66722,0.000275084,0.000275084,0.000275084
40,70.4992,0.17307,0.80556,1,0.61259,0.000253086,0.000253086,0.000253086
41,93.3503,0.17667,0.81667,1,0.60148,0.000231088,0.000231088,0.000231088
42,95.248,0.17697,0.81667,1,0.53117,0.00020909,0.00020909,0.00020909
43,96.9615,0.16629,0.80556,1,0.54553,0.000187092,0.000187092,0.000187092
44,98.726,0.19209,0.81667,1,0.58816,0.000165095,0.000165095,0.000165095
45,100.383,0.16495,0.81111,1,0.58691,0.000143097,0.000143097,0.000143097
46,102.133,0.17433,0.81667,1,0.56087,0.000121099,0.000121099,0.000121099
47,103.822,0.16721,0.82222,1,0.62211,9.91012e-05,9.91012e-05,9.91012e-05
48,105.489,0.16615,0.81111,1,0.58834,7.71034e-05,7.71034e-05,7.71034e-05
49,107.153,0.16444,0.81667,1,0.60604,5.51056e-05,5.51056e-05,5.51056e-05
50,108.888,0.15575,0.81667,1,0.59574,3.31078e-05,3.31078e-05,3.31078e-05
